id,accession,locator,site,type,author,date,format,size,description,notes,issues
111,,,SalemAve,letter,"Wickham, H.",04/27/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company discussing coal shipment contract matters,
112,,,SalemAve,letter,"Wickham, H.",04/17/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company requesting Frederick Kimball's agreement in coal shipment contract matters,
113,,,SalemAve,letter,"Wickham, H.",03/17/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company thanking Frederick Kimball for his offer to supply lumber and construction services in the erection of a tipple at a Pocahontas Coal & Coke Company mine,
114,,,SalemAve,letter,"Wickham, H.",03/16/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company addressing coal purchasing from the N&W Railroad ,
115,,,SalemAve,letter,"Wickham, H.",03/10/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company discussing a discrepency over payment for the services,
116,,,SalemAve,letter,"Wickham, H.",03/06/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company discussing a discrepency over payment for the services relating to a Johnston property ,
117,,,SalemAve,letter,"Wickham, H.",02/19/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company discussing the status of an open account with the N&W Railroad,
118,,,SalemAve,letter,"Wickham, H.",02/17/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company threatening to collect thousands of dollars in debt owed by the N&W Railroad ,
119,,,SalemAve,letter,"Wickham, H.",02/06/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company requesting more coal cars to sustain output,
120,,,SalemAve,letter,"Wickham, H.",02/03/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company updating Frederick Kimball on the output of the Pocahontas Coal & Coke Company mines for  January 1885,
121,,,SalemAve,letter,"Wickham, H.",02/03/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the Southwest Virginia Improvement Company updating Frederick Kimball on the output of the Pocahontas Coal & Coke Company mines for  February 1885,
122,,,SalemAve,letter,"Wickham, H.",01/27/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President","Letter from the president of the Southwest Virginia Improvement Company requesting payment for coal provided during October, November, and December 1885",
123,,,SalemAve,letter,"Wickham, H.",01/11/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President","Letter from the president of the Southwest Virginia Improvement Company requesting a rail pass for travel to Pocahontas, Virginia",
124,,,SalemAve,letter,"Wilkins, Rob",05/09/1888,paper,8x10-3/4,"Letter from Rob Wilkins to Frederick J. Kimball, N&W President","Letter from an associate at the McReath Chemical Laboratory in Harrisburg, Pennsylvania, regarding the proper sand composition for bottles, lamp chimneys, and globes ",
125,,,SalemAve,letter,"Wilkins, George C.",11/25/1887,paper,8x10,"Letter from George C. Wilkins to Frederick J. Kimball, N&W President",Letter from the general agent of the Northern Central Railway Company recommending the services of architect W. B. Powell; drawing for the Baltimore Union Station mentioned but missing,
126,,,SalemAve,letter,"Wilkins, George C.",11/16/1887,paper,8x10,"Letter from George C. Wilkins to Frederick J. Kimball, N&W President",Letter from the general agent of the Northern Central Railway Company agreeing to send Frederick Kimball a blueprint of Baltimore Union Station,
127,,,SalemAve,letter,"Wilson, S. R. ",04/20/1887,paper,5-1/4x8,"Letter from S. R. Wilson to Frederick J. Kimball, N&W President","Letter from a Western Union employee informing Frederick Kimball of a code address for cablegrams sent to Vivian Gray & Company, London",
128,,,SalemAve,letter,"Willard, E. J.",04/30/1887,paper,8-1/4x10-3/4,"Letter from E. J. Willard to Frederick J. Kimball, N&W President ",Letter thanking Frederick Kimball on behalf of the vice president of the Louisville & Nashville Railroad for providing rail passes,
129,,,SalemAve,letter,"Willard, E. J.",04/28/1887,paper,8-1/4x10-3/4,"Letter from E. J. Willard to Frederick J. Kimball, N&W President ",Letter from an employee of the Louisville & Nashville Railroad requesting a rail pass ,
130,,,SalemAve,letter,"Willard, E. J.",01/31/1887,paper,8-1/4x10-3/4,"Letter from E. J. Willard to Frederick J. Kimball, N&W President ","Letter from an employee of the Louisville & Nashville Railroad requesting a rail pass to visit Luray and Natural Bridge, Virginia",
131,,,SalemAve,letter,"Wilkins, George C.",01/08/1887,paper,8x10,"Letter from George C. Wilkins to Frederick J. Kimball, N&W President",Letter from the general agent of the Northern Central Railway Company discussing personnel matters ,
132,,,SalemAve,letter,"Wickham, H.",01/21/1885,paper,8x10-1/2,"Letter from H. Wickham to Frederick J. Kimball, N&W President",Letter from the president of the vice president of the Southwest Virginia Improvement Company thanking Frederick Kimball for providing a rail pass from Waynesboro and updating Kimball on the health of a railroad official,
133,,,SalemAve,letter,"Williams, Jenny Perkins",3/22/1887,paper,8x11,"Letter from Jenny Perkins Williams to Frederick J. Kimball, N&W President",Letter from a N&W stockholder with a poem thanking Frederick Kimball for providing a share of the company to the author,
134,,,SalemAve,letter,"Williams, [first name]",03/10/1887,paper,5x8,Letter from Mr. Williams to J. E. Doran,Letter discussing statements for newspaper publication; forwarded to Frederick Kimball ,
135,,,SalemAve,letter,"Williams, [first name]",02/01/188,paper,5-3/4x9,Letter from Mr. Williams to J. E. Doran,Letter inquiring when the author can visit the N&W legal department; forwarded to Frederick Kimball,
136,,,SalemAve,letter,"Williams, R.A ",11/02/1887,paper,5-1/2x8-1/2,"Letter from R. A. Williams to Frederick J. Kimball, N&W President",Letter discussing lumber business ,
137,,,SalemAve,letter,"Williams, R.A ",12/11/1887,paper,5-1/2x8-1/2,"Letter from R. A. Williams to Frederick J. Kimball, N&W President","Letter from lumber merchants seeking to do business with mills along the N&W line for sale in Philadelphia, Pennsylvania",
138,,,SalemAve,letter,"Williams, R.A ",12/09/1887,paper,5-1/2x8-1/2,"Letter from R. A. Williams to Frederick J. Kimball, N&W President",Letter from lumber merchants requesting the names of mill operators along the N&W line with which to do business,
139,,,SalemAve,letter,"Williams, S. W. ",07/19/1885,paper,8-1/2x11,"Letter from S. W. Williams to Frederick J. Kimball, N&W President",Letter from a Virginia state senator requesting a rail pass from Wytheville to Lynchburg and Richmond for him and his sister,
140,,,SalemAve,letter,"Williams, E. Calvin",06/04/1885,paper,5x8,"Letter from E. Calvin Williams to Frederick J. Kimball, N&W President ",Letter discussing property matters and requesting to arrange a meeting with Frederick Kimball and members of the N&W board,
141,,,SalemAve,letter,"Williams, E. Calvin",06/02/1885,paper,8x10,"Letter from E. Calvin Williams to Frederick J. Kimball, N&W President ",Letter requesting a meeting with Frederick Kimball and members of the N&W board,
142,,,SalemAve,letter,"Williams, E. Calvin",05/26/1885,paper,8x10,"Letter from E. Calvin Williams to Frederick J. Kimball, N&W President ",Letter requesting a meeting with Frederick Kimball and members of the N&W board,
143,,,SalemAve,letter,"Williams, E. Calvin",05/27/1885,paper,8x10,"Letter from E. Calvin Williams to Frederick J. Kimball, N&W President ",Letter discussing bill of lading matters ,
144,,,SalemAve,letter,"Williams, E. Calvin",05/21/1885,paper,8x10,"Letter from E. Calvin Williams to Frederick J. Kimball, N&W President ",Letter discussing meeting with Frederick Kimball and Mr. Bullitt,
145,,,SalemAve,telegram,"Williams, E. Calvin",05/21/1885,paper,8x6,"Telegram from E. Calvin Williams to Frederick J. Kimball, N&W President",Message indicating the author's availability for a meeting,
146,,,SalemAve,telegram,"Williams, E. Calvin",n.d.,paper,8x6,"Telegram from E. Calvin Williams to Frederick J. Kimball, N&W President",Message expressing content to meet with Mr. Bullitt ,
147,,,SalemAve,telegram,"Williams, E. Calvin",06/02/1885,paper,8x6,"Telegram from E. Calvin Williams to Frederick J. Kimball, N&W President",Message letting know that the author will write Frederick Kimball upon seeing Mr. Baker,
148,,,SalemAve,letter,"Williams, R. A. ",04/07/1885,paper ,5-1/2x8-1/2,"Letter from R. A. Williams to Frederick J. Kimball, N&W President",Letter recommending Frederick Kimball employ C. N. Robinson as a civil engineer ,
149,,,SalemAve,letter,"Williams, R. A. ",04/08/1885,paper,5-1/2x8-1/2,"Letter from R. A. Williams to Frederick J. Kimball, N&W President",Letter requesting that Frederick Kimball advise C. N. Robinson in finding employment with a railroad; letter from Robinson enclosed ,
150,,,SalemAve,letter,"Wilson, John",08/01/1887,paper,8x10-1/4,"Letter from John Wilson to Frederick J. Kimball, N&W President","Letter from the General Freight Traffic Agent of the  Pennsylvania Railroad discussing rail line between Alexandria, Richmond, and Portsmouth",
151,,,SalemAve,letter,"Wilson, John",07/16/1887,paper,8x10-1/4,"Letter from John Wilson to Frederick J. Kimball, N&W President",Letter from the General Freight Traffic Agent of the  Pennsylvania Railroad seeking to arrange a meeting with Frederick Kimball ,
152,,,SalemAve,letter,"Wilson, John",07/14/1887,paper,8x10-1/4,"Letter from John Wilson to Frederick J. Kimball, N&W President","Letter from the General Freight Traffic Agent of the Pennsylvania Railroadnotifying Frederick Kimball of mileage from New York, New York, to Memphis, Tennessee, via the Pennsylvania Railroad ",
153,,,SalemAve,letter,"Willard, E. J.",02/18/1887,paper,8-1/4x10-3/4,"Letter from E. J. Willard to Frederick J. Kimball, N&W President ",Letter from a Louisville & Nashville Railroad employee apologizing for delaying in providing Frederick Kimball his requested rail pass,
154,,,SalemAve,letter,"Wilson, Colston & Co.",10/11/1886,paper,8x10-1/2,"Letter from Wilson, Colston & Co. Bank to Frederick J. Kimball, N&W President","Letter from the Wilson, Colston & Co. Bank notifying Frederick Kimball of the bank's inability to fulfill requested services",
155,,,SalemAve,letter,"Wilson, John",02/23/1886,paper,8x10-1/4,"Letter from John Wilson to Frederick J. Kimball, N&W President",Letter from the General Freight Traffic Agent of the  Pennsylvania Railroad discussing coke production; report mentioned but not attached,
156,,,SalemAve,letter,"Wilson, John",02/18/1886,paper,8x10-1/4,"Letter from John Wilson to Frederick J. Kimball, N&W President",Letter from the General Freight Traffic Agent of the Pennsylvania Railroad acknowledging receipt of a request from Frederick Kimball to supply data on coke production,
157,,,SalemAve,letter,"Wilson, Colston & Co. ",10/20/1885,paper,5-1/2x8-1/2,"Letter from Wilson, Colston & Co. Bank to Frederick J. Kimball, N&W President","Letter from the Wilson, Colston & Co. Bank acknowledging receipt of previous letter from Frederick Kimball",
158,,,SalemAve,letter,"Wilson, Colston & Co.",10/19/1885,paper,5-1/2x8-1/2,"Letter from Wilson, Colston & Co. Bank to Frederick J. Kimball, N&W President","Letter from the Wilson, Colston & Co. Bank discussing N&W stock",
159,,,SalemAve,letter,"Wilson, Colston & Co.",10/15/1885,paper,5-1/2x8-1/2,"Letter from Wilson, Colston & Co. Bank to Frederick J. Kimball, N&W President",Letter arranging a meeting between Frederick Kimball and Mr. Colston,
160,,,SalemAve,letter,"Wilson, John",10/10/1885,paper ,8x10-1/4,"Letter from John Wilson to Frederick J. Kimball, N&W President",Letter from the General Freight Traffic Agent of the  Pennsylvania Railroad expressing desire to work with the N&W in the future,
161,,,SalemAve,letter,"Wilson, Colston & Co.",04/24/1885,paper,8x10-1/2,"Letter from Wilson, Colston & Co. Bank to Frederick J. Kimball, N&W President","Letter from the Wilson, Colston & Co. Bank discussing N&W stock",
162,,,SalemAve,telegram,"Wilson, Colston & Co.",n.d.,paper,8x6,"Telegram from Wilson, Colston & Co. Bank to Frederick J. Kimball","Message from the Wilson, Colston & Co. Bank discussing N&W stock",
163,,,SalemAve,letter,"Wilson, John",03/18/1885,paper,8x10-1/2,"Letter from John Wilson to Frederick J. Kimball, N&W President",Letter from the General Freight Traffic Agent of the  Pennsylvania Railroad discussing coal shipments,
164,,,SalemAve,letter,"Wilson, John",03/13/1885,paper,8x10-1/2,"Letter from John Wilson to Frederick J. Kimball, N&W President",Letter from the General Freight Traffic Agent of the  Pennsylvania Railroad discussing manipulation of the coal market ,
165,,,SalemAve,letter,"Wilson, John",03/07/1885,paper,8x10-1/2,"Letter from John Wilson to Frederick J. Kimball, N&W President",Letter from the General Freight Traffic Agent of the  Pennsylvania Railroad discussing meeting with Commodore McGready ,
166,,,SalemAve,letter,"Wilson, John",03/06/1885,paper,8x10-1/2,"Letter from John Wilson to Frederick J. Kimball, N&W President",Letter from the General Freight Traffic Agent of the  Pennsylvania Railroad discussing meeting with Commodore McGready in New York,
167,,,SalemAve,letter,"Wilson, John",03/04/1885,paper,8x10-1/2,"Letter from John Wilson to Frederick J. Kimball, N&W President",Letter from the General Freight Traffic Agent of the  Pennsylvania Railroad discussing accusations of manipulation of the coal market ,
168,,,SalemAve,letter,"Wilson, John",03/03/1885,paper,8x10-1/2,"Letter from John Wilson to Frederick J. Kimball, N&W President",Letter from the General Freight Traffic Agent of the  Pennsylvania Railroad discussing accusations of manipulation of the coal market ,
169,,,SalemAve,letter,"Wilson, John",02/13/1885,paper,8x10-1/2,"Letter from John Wilson to Frederick J. Kimball, N&W President",Letter from the General Freight Traffic Agent of the  Pennsylvania Railroad discussing accusations of manipulation of the coal market ,
170,,,SalemAve,telegram,"Wilson, John",02/20/1885,paper,5-1/2x8-1/2,"Telegram from John Wilson to Frederick J. Kimball, N&W President",Message from the General Freight Traffic Agent of the  Pennsylvania Railroad arranging to meet with Frederick Kimball and Mr. Hatch,
